fecha,launched,destroyed,impactos,n_ataques,tasa_hit,tasa_intercep,wspeed_mean,wspeed_max,wgusts_max,wdir_mean,precip_sum,dias_favorable,temp_mean,net_import_mwh_week,vol_alto,import_lag1,import_lag2
2025-06-30,1343.0,653.0,690.0,7,0.5137751303052867,0.48622486969471335,3.745833333333333,7.52,13.4,313.7397594310152,2.3,0,22.09404761904762,-344.0008321563129,1,-89.22714837856284,252.75566109863064
2025-07-07,2051.0,930.0,1121.0,6,0.5465626523647001,0.45343734763529986,3.5100000000000002,6.28,11.0,168.02795211672114,0.0,2,28.188095238095237,-89.22714837856284,1,252.75566109863064,-549.3836001492516
2025-07-14,1593.0,826.0,767.0,7,0.48148148148148145,0.5185185185185185,3.1411904761904763,6.22,11.3,305.98149213105546,0.4,0,27.15,252.75566109863064,1,-549.3836001492516,-578.512025624032
2025-07-21,892.0,767.0,125.0,7,0.14013452914798205,0.8598654708520179,3.502619047619047,6.74,11.6,290.45239890434124,0.2,0,27.142261904761902,-549.3836001492516,0,-578.512025624032,-453.6261547559916
2025-07-28,787.0,681.0,106.0,7,0.13468869123252858,0.8653113087674714,4.763571428571429,8.1,13.2,142.73034640161993,17.7,2,27.19107142857143,-578.512025624032,0,-453.6261547559916,-198.265590506359
2025-08-04,529.0,381.0,148.0,7,0.27977315689981097,0.720226843100189,4.167916666666667,8.37,14.0,192.36258571114715,0.2,0,27.03690476190476,-453.6261547559916,0,-198.265590506359,-643.1329961523026
2025-08-11,524.0,344.0,180.0,7,0.3435114503816794,0.6564885496183206,3.5830357142857143,6.94,11.6,189.56296203482626,0.5,0,23.56488095238095,-198.265590506359,0,-643.1329961523026,-527.6058902024057
2025-08-18,1217.0,1044.0,173.0,7,0.14215283483976993,0.8578471651602301,3.59875,7.6,13.3,211.65174394768022,2.5,0,23.95595238095238,-643.1329961523026,1,-527.6058902024057,1721.3365021711475
2025-08-25,1585.0,1433.0,152.0,7,0.09589905362776026,0.9041009463722397,4.44672619047619,7.92,13.5,209.16306546987602,0.0,1,23.042261904761908,-527.6058902024057,1,1721.3365021711475,1493.6559868326756
2025-09-01,2027.0,1740.0,287.0,7,0.1415885545140602,0.8584114454859398,3.935714285714286,6.01,10.8,114.079037256957,0.7000000000000001,0,22.770238095238092,1721.3365021711475,1,1493.6559868326756,1532.6025163576514
2025-09-08,911.0,789.0,122.0,7,0.13391877058177826,0.8660812294182217,6.1120833333333335,8.72,15.7,68.54708197941308,26.4,1,19.719642857142855,1493.6559868326756,0,1532.6025163576514,1736.9475801036106
2025-09-15,1222.0,1063.0,159.0,7,0.13011456628477905,0.869885433715221,4.250178571428571,8.84,15.5,106.65300702809009,4.0,4,18.657738095238095,1532.6025163576514,1,1736.9475801036106,5878.217014768599
2025-09-22,1337.0,1193.0,144.0,7,0.10770381451009724,0.8922961854899027,4.2057142857142855,9.31,15.9,45.82258600428444,0.5,0,16.141666666666666,1736.9475801036106,1,5878.217014768599,8137.025608166342
2025-09-29,1302.0,1041.0,261.0,7,0.20046082949308755,0.7995391705069125,5.95577380952381,11.14,18.9,110.99781230761927,8.700000000000001,5,14.310714285714285,5878.217014768599,1,8137.025608166342,8104.370435505448
2025-10-06,1190.0,960.0,230.0,7,0.19327731092436976,0.8067226890756303,4.064821428571428,7.66,12.7,182.5521194293596,17.400000000000002,3,15.60297619047619,8137.025608166342,1,8104.370435505448,7538.153398352061
2025-10-13,887.0,689.0,198.0,7,0.22322435174746336,0.7767756482525366,2.599642857142857,8.32,13.9,203.03367091846803,7.799999999999999,0,11.114880952380952,8104.370435505448,0,7538.153398352061,8364.47994172035
2025-10-20,1024.0,761.0,263.0,7,0.2568359375,0.7431640625,3.981190476190476,7.92,14.3,181.51294182762626,20.0,4,11.696428571428571,7538.153398352061,0,8364.47994172035,6792.566889269248
2025-10-27,1402.0,1206.0,196.0,7,0.1398002853067047,0.8601997146932953,4.191071428571429,9.75,15.9,253.05585767905842,11.6,1,12.537499999999998,8364.47994172035,1,6792.566889269248,6635.379878508896
2025-11-03,1067.0,847.0,220.0,7,0.20618556701030927,0.7938144329896907,3.118809523809524,6.1,11.1,100.16307795776595,0.0,2,10.419642857142858,6792.566889269248,0,6635.379878508896,8196.71120590727
2025-11-10,1287.0,1011.0,276.0,7,0.21445221445221446,0.7855477855477856,2.5814880952380954,7.48,12.6,151.2535296892415,6.2,3,10.455357142857142,6635.379878508896,1,8196.71120590727,7478.569780617014
2025-11-17,1254.0,1076.0,178.0,7,0.1419457735247209,0.8580542264752791,4.20952380952381,9.25,15.3,161.24085928066944,0.1,5,13.211904761904762,8196.71120590727,1,7478.569780617014,10464.264743493059
2025-11-24,1575.0,1390.0,185.0,7,0.11746031746031746,0.8825396825396825,3.2857738095238096,6.75,11.5,103.47635623755629,0.2,4,9.044642857142858,7478.569780617014,1,10464.264743493059,10371.488993744375
2025-12-01,1491.0,1207.0,284.0,7,0.19047619047619047,0.8095238095238095,5.385952380952381,11.55,20.4,79.00571130961121,4.300000000000001,2,6.449404761904762,10464.264743493059,1,10371.488993744375,10047.129682379455
2025-12-08,1177.0,941.0,236.0,7,0.20050977060322855,0.7994902293967715,4.573630952380952,10.37,17.2,186.36483679080808,13.5,1,3.811309523809524,10371.488993744375,1,10047.129682379455,9268.468813552003
2025-12-15,614.0,429.0,185.0,7,0.30130293159609123,0.6986970684039088,2.4604166666666667,4.84,8.2,122.56493936940691,2.4,4,1.7202380952380953,10047.129682379455,0,9268.468813552003,7044.787153897615
2025-12-22,1573.0,1351.0,222.0,7,0.14113159567705022,0.8588684043229498,3.547619047619048,10.84,18.8,170.38151114881762,9.5,0,0.36547619047619057,9268.468813552003,1,7044.787153897615,5927.150192572342
2025-12-29,830.0,681.0,149.0,7,0.17951807228915662,0.8204819277108434,5.8116071428571425,11.39,18.7,233.8090892342842,16.7,3,0.6607142857142856,7044.787153897615,0,5927.150192572342,5888.297500404301
2026-01-05,943.0,801.0,142.0,7,0.15058324496288442,0.8494167550371156,5.4661904761904765,11.18,18.1,176.03240265566416,37.1,5,5.632142857142857,5927.150192572342,0,5888.297500404301,5675.241705145247
2026-01-12,1035.0,842.0,193.0,7,0.18647342995169083,0.8135265700483092,5.027142857142857,8.7,14.2,181.3381329131389,10.0,1,-4.520833333333333,5888.297500404301,0,5675.241705145247,6038.313774078781
